Hostname,Customer,App Profile,Application(Server Group),Server Function,zLink Version,Online Since,Online Since (UTC+08:00),Host IP,Public IP,CoIP Address
"THBPODDPDW01","Delta","Digital Design Platform","TRA_DET_UAT_Test","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",1774097412,"2026-03-21 20:50:12","fe80::5c62:bd8d:c585:89ea,10.150.206.10","10.150.206.10",
"TWPJ1RDAECE01","Delta","Digital Design Platform","PSBG_TWPJ_PKG_CAETM","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",1774097413,"2026-03-21 20:50:13","10.143.184.170","10.143.184.170",
"TWPJ1RDAECE02","Delta","Digital Design Platform","PSBG_TWPJ_PKG_CAETM","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",1774097442,"2026-03-21 20:50:42","10.143.184.171","10.143.184.171",
"TWPJ1RDCE01","Delta","Digital Design Platform","PSBG_TWPJ_PKG_CAETM","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",1774097424,"2026-03-21 20:50:24","10.143.184.176","10.143.184.176",
"TWPJ1RDCE02","Delta","Digital Design Platform","PSBG_TWPJ_PKG_CAETM","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",1774097423,"2026-03-21 20:50:23","10.143.184.177","10.143.184.177",
"TWPJ1RDEE01","Delta","Digital Design Platform","PSBG_TWPJ_CNBU_EE","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",1774097414,"2026-03-21 20:50:14","10.143.184.126","10.143.184.126",
"TWPJ1RDEE02","Delta","Digital Design Platform","PSBG_TWPJ_CNBU_EE","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",1774097419,"2026-03-21 20:50:19","10.143.184.127","10.143.184.127",
"TWPJ1RDEE03","Delta","Digital Design Platform","PSBG_TWPJ_CNBU_EE","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",1774097413,"2026-03-21 20:50:13","10.143.184.128","10.143.184.128",
"TWPJ1RDEE04","Delta","Digital Design Platform","PSBG_TWPJ_ADV_EE","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",,,"10.143.184.129","10.143.184.129",
"TWPJ1RDEE05","Delta","Digital Design Platform","PSBG_TWPJ_CNBU_EE","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",1774097439,"2026-03-21 20:50:39","10.143.184.130","10.143.184.130",
"TWPJ1RDLT01","Delta","Digital Design Platform","PSBG_TWPJ_CNBU_LT","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",1774213890,"2026-03-23 05:11:30","10.143.184.151","10.143.184.151",
"TWPJ1RDNBCE01","Delta","Digital Design Platform","PSBG_TWPJ_PKG_CAETM","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",1774097402,"2026-03-21 20:50:02","10.143.184.172","10.143.184.172",
"TWPJ1RDNBCE02","Delta","Digital Design Platform","PSBG_TWPJ_PKG_CAETM","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",1774097425,"2026-03-21 20:50:25","10.143.184.173","10.143.184.173",
"TWPJCMCPAMSMG01","Delta","Digital Design Platform","CM_TWPJ_CPAMS_MG","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",1774097414,"2026-03-21 20:50:14","10.143.186.5","10.143.186.5",
"TWPJCMEIEVEE01","Delta","Digital Design Platform","CM_TWPJ_EISEV_EE","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",1774098230,"2026-03-21 21:03:50","10.143.186.26","10.143.186.26",
"TWPJCMEVTIEE01","Delta","Digital Design Platform","CM_TWPJ_EVSTI_EE","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",,,"10.143.186.11","10.143.186.11",
"TWPJCMIAIMSME01","Delta","Digital Design Platform","CM_TWPJ_IAIMS_ME","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",1774098269,"2026-03-21 21:04:29","10.143.186.34","10.143.186.34",
"TWPJCMIAMDSCE01","Delta","Digital Design Platform","CM_TWPJ_IAMDS_CE","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",1774097397,"2026-03-21 20:49:57","10.143.186.12","10.143.186.12",
"TWPJCMIAMDSME01","Delta","Digital Design Platform","CM_TWPJ_IAMDS_ME","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",1774097411,"2026-03-21 20:50:11","10.143.186.33","10.143.186.33",
"TWPJCMIASSMEE01","Delta","Digital Design Platform","CM_TWPJ_IASSM_EE","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",,,"10.143.186.25","10.143.186.25",
"TWPJCMICDINME01","Delta","Digital Design Platform","CM_TWPJ_CNBU_ME","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",,,"10.143.186.15","10.143.186.15",
"TWPJCMICTISEE01","Delta","Digital Design Platform","CM_TWPJ_ICTIS_EE","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",1774098225,"2026-03-21 21:03:45","10.143.186.22","10.143.186.22",
"TWPJCMIEIDSCE01","Delta","Digital Design Platform","CM_TWPJ_IAMDS_CE","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",,,"10.143.186.13","10.143.186.13",
"TWPJCMIEIEVEE01","Delta","Digital Design Platform","CM_TWPJ_EISEV_EE","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",,,"10.143.186.17","10.143.186.17",
"TWPJCMITTEST01","Delta","Digital Design Platform","CM_TWPJ_CORP_IT","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",,,"10.143.186.3","10.143.186.3",
"TWPJCMPSADVEE01","Delta","Digital Design Platform","CM_TWPJ_PSADV_EE","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",1774098251,"2026-03-21 21:04:11","10.143.186.20","10.143.186.20",
"TWPJCMPSCNEE01","Delta","Digital Design Platform","CM_TWPJ_PSCN_EE","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",,,"10.143.186.1","10.143.186.1",
"TWPJCMPSCNEE02","Delta","Digital Design Platform","CM_TWPJ_PSCN_EE","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",,,"10.143.186.6","10.143.186.6",
"TWPJCMPSCNEE03","Delta","Digital Design Platform","CM_TWPJ_PSCN_EE","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",,,"10.143.186.18","10.143.186.18",
"TWPJCMPSCNME01","Delta","Digital Design Platform","CM_TWPJ_CNBU_ME","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",,,"10.143.186.29","10.143.186.29",
"TWPJCMPSECEE01","Delta","Digital Design Platform","CM_TWPJ_PSEC_EE","Application Server,Access Server","8.6.0-5 (64-bit x86_64 Windows)",1774097426,"2026-03-21 20:50:26","10.143.186.16","10.143.186.16",
